ID,Title,Question,Chose_A,Chose_B,Chose_C,Chose_D,Chose_E,Correct,Answered,Explain
122593,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 172
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A mobile app stores blog posts in an Amazon DynamoDB table. Millions of posts
are added every day, and each post represents a single item in the table. The
mobile app requires only recent posts. Any post that is older than 48 hours can
be removed.

What is the MOST cost-effective way to delete posts that are older than 48
hours?","For each item, add a new attribute of type String that has a timestamp that is set to the blog post creation time. Create a script to find old posts with a table scan and remove posts that are older than 48 hours by using the BatchWriteItem API operation. Schedule a cron job on an Amazon EC2 instance once an hour to start the script.","For each item, add a new attribute of type String that has a timestamp that is set to the blog post creation time. Create a script to find old posts with a table scan and remove posts that are older than 48 hours by using the BatchWriteItem API operation. Place the script in a container image. Schedule an Amazon Elastic Container Service (Amazon ECS) task on AWS Fargate that invokes the container every 5 minutes.","For each item, add a new attribute of type Date that has a timestamp that is set to 48 hours after the blog post creation time. Create a global secondary index (GSI) that uses the new attribute as a sort key. Create an AWS Lambda function that references the GSI and removes expired items by using the BatchWriteItem API operation. Schedule the function with an Amazon CloudWatch event every minute.","For each item, add a new attribute of type Number that has a timestamp that is set to 48 hours after the blog post creation time. Configure the DynamoDB table with a TTL that references the new attribute.",,"[{""voted_answers"": ""D"", ""vote_count"": 10, ""is_most_voted"": true}]",D,"DynamoDB TTL requires a Number attribute containing the Unix epoch time when the item should expire, which automatically deletes items after 48 hours."
122594,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 174
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A developer accesses AWS CodeCommit over SSH. The SSH keys configured to access
AWS CodeCommit are tied to a user with the following permissions:

[https://img.examtopics.com/aws-certified-developer-associate-dva-c02/image13.png]

The developer needs to create/delete branches.

Which specific IAM permissions need to be added, based on the principle of least
privilege?","""codecommit:CreateBranch"" ""codecommit:DeleteBranch""","""codecommit:Put*""","""codecommit:Update*""","""codecommit:*""",,"[{""voted_answers"": ""A"", ""vote_count"": 10, ""is_most_voted"": true}]",A,"The actions for creating and deleting CodeCommit branches are codecommit:CreateBranch and codecommit:DeleteBranch, making option A correct."
122595,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 175
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","An application that is deployed to Amazon EC2 is using Amazon DynamoDB. The
application calls the DynamoDB REST API. Periodically, the application receives
a ProvisionedThroughputExceededException error when the application writes to a
DynamoDB table.

Which solutions will mitigate this error MOST cost-effectively? (Choose two.)",Modify the application code to perform exponential backoff when the error is received.,Modify the application to use the AWS SDKs for DynamoDB.,Increase the read and write throughput of the DynamoDB table.,Create a DynamoDB Accelerator (DAX) cluster for the DynamoDB table.,E. Create a second DynamoDB table. Distribute the reads and writes between the two tables.,"[{""voted_answers"": ""AB"", ""vote_count"": 16, ""is_most_voted"": true},
{""voted_answers"": ""AC"", ""vote_count"": 1, ""is_most_voted"": false},
{""voted_answers"": ""BC"", ""vote_count"": 1, ""is_most_voted"": false}]",AB,"For DynamoDB throttling errors, the correct response is to use the AWS SDKs and implement exponential backoff. These are AWS‑recommended best practices and typically required on the exam."
122596,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 176
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","When a developer tries to run an AWS CodeBuild project, it raises an error
because the length of all environment variables exceeds the limit for the
combined maximum of characters.

What is the recommended solution?","Add the export LC_ALL=""en_US.utf8"" command to the pre_build section to ensure POSIX localization.",Use Amazon Cognito to store key-value pairs for large numbers of environment variables.,Update the settings for the build project to use an Amazon S3 bucket for large numbers of environment variables.,Use AWS Systems Manager Parameter Store to store large numbers of environment variables.,,"[{""voted_answers"": ""D"", ""vote_count"": 13, ""is_most_voted"": true}]",D,AWS Systems Manager Parameter Store is the correct service for storing and managing large numbers of environment variables securely and at scale.
122597,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 177
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A company is expanding the compatibility of its photo-sharing mobile app to
hundreds of additional devices with unique screen dimensions and resolutions.
Photos are stored in Amazon S3 in their original format and resolution. The
company uses an Amazon CloudFront distribution to serve the photos. The app
includes the dimension and resolution of the display as GET parameters with
every request.

A developer needs to implement a solution that optimizes the photos that are
served to each device to reduce load time and increase photo quality.

Which solution will meet these requirements MOST cost-effectively?",Use S3 Batch Operations to invoke an AWS Lambda function to create new variants of the photos with the required dimensions and resolutions. Create a dynamic CloudFront origin that automatically maps the request of each device to the corresponding photo variant.,Use S3 Batch Operations to invoke an AWS Lambda function to create new variants of the photos with the required dimensions and resolutions. Create a Lambda@Edge function to route requests to the corresponding photo variant by using request headers.,Create a Lambda@Edge function that optimizes the photos upon request and returns the photos as a response. Change the CloudFront TTL cache policy to the maximum value possible.,"Create a Lambda@Edge function that optimizes the photos upon request and returns the photos as a response. In the same function, store a copy of the processed photos on Amazon S3 for subsequent requests.",,"[{""voted_answers"": ""D"", ""vote_count"": 17, ""is_most_voted"": true}]",D,"Lambda@Edge can generate optimized images on demand and store them in S3 so subsequent requests are served directly, reducing repeated processing and improving performance."
122598,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 178
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A company is building an application for stock trading. The application needs
sub-millisecond latency for processing trade requests. The company uses Amazon
DynamoDB to store all the trading data that is used to process each trading
request.

A development team performs load testing on the application and finds that the
data retrieval time is higher than expected. The development team needs a
solution that reduces the data retrieval time with the least possible effort.

Which solution meets these requirements?",Add local secondary indexes (LSIs) for the trading data.,"Store the trading data in Amazon S3, and use S3 Transfer Acceleration.",Add retries with exponential backoff for DynamoDB queries.,Use DynamoDB Accelerator (DAX) to cache the trading data.,,"[{""voted_answers"": ""D"", ""vote_count"": 17, ""is_most_voted"": true}]",D,DynamoDB Accelerator (DAX) is the correct choice for reducing response times and improving read performance for frequently accessed data such as trading data.
122600,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 179
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A developer is working on a Python application that runs on Amazon EC2
instances. The developer wants to enable tracing of application requests to
debug performance issues in the code.

Which combination of actions should the developer take to achieve this goal?
(Choose two.)",Install the Amazon CloudWatch agent on the EC2 instances.,Install the AWS X-Ray daemon on the EC2 instances.,Configure the application to write JSON-formatted logs to /var/log/cloudwatch.,Configure the application to write trace data to /var/log/xray.,E. Install and configure the AWS X-Ray SDK for Python in the application.,"[{""voted_answers"": ""BE"", ""vote_count"": 17, ""is_most_voted"": true}]",BE,"To enable AWS X-Ray tracing on an EC2-hosted Python application, you must install the X-Ray daemon and instrument the application using the X-Ray SDK."
122601,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 180
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A company has an application that runs as a series of AWS Lambda functions. Each
Lambda function receives data from an Amazon Simple Notification Service (Amazon
SNS) topic and writes the data to an Amazon Aurora DB instance.

To comply with an information security policy, the company must ensure that the
Lambda functions all use a single securely encrypted database connection string
to access Aurora.

Which solution will meet these requirements?",Use IAM database authentication for Aurora to enable secure database connections for all the Lambda functions.,Store the credentials and read the credentials from an encrypted Amazon RDS DB instance.,Store the credentials in AWS Systems Manager Parameter Store as a secure string parameter.,Use Lambda environment variables with a shared AWS Key Management Service (AWS KMS) key for encryption.,,"[{""voted_answers"": ""C"", ""vote_count"": 18, ""is_most_voted"": true},
{""voted_answers"": ""A"", ""vote_count"": 7, ""is_most_voted"": false},
{""voted_answers"": ""D"", ""vote_count"": 3, ""is_most_voted"": false}]",C,"Securely storing database credentials for Lambda is best done using AWS Systems Manager Parameter Store secure string parameters or Secrets Manager. Among the given choices, C is the correct and secure approach."
122602,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 181
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A developer is troubleshooting an Amazon API Gateway API. Clients are receiving
HTTP 400 response errors when the clients try to access an endpoint of the API.

How can the developer determine the cause of these errors?",Create an Amazon Kinesis Data Firehose delivery stream to receive API call logs from API Gateway. Configure Amazon CloudWatch Logs as the delivery stream’s destination.,Turn on AWS CloudTrail Insights and create a trail. Specify the Amazon Resource Name (ARN) of the trail for the stage of the API.,Turn on AWS X-Ray for the API stage. Create an Amazon CloudWatch Logs log group. Specify the Amazon Resource Name (ARN) of the log group for the API stage.,Turn on execution logging and access logging in Amazon CloudWatch Logs for the API stage. Create a CloudWatch Logs log group. Specify the Amazon Resource Name (ARN) of the log group for the API stage.,,"[{""voted_answers"": ""D"", ""vote_count"": 13, ""is_most_voted"": true},
{""voted_answers"": ""B"", ""vote_count"": 3, ""is_most_voted"": false},
{""voted_answers"": ""C"", ""vote_count"": 1, ""is_most_voted"": false}]",D,"API Gateway logging is enabled by turning on execution logging and access logging to CloudWatch Logs, which matches option D."
122604,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 182
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A company developed an API application on AWS by using Amazon CloudFront, Amazon
API Gateway, and AWS Lambda. The API has a minimum of four requests every
second. A developer notices that many API users run the same query by using the
POST method. The developer wants to cache the POST request to optimize the API
resources.

Which solution will meet these requirements?",Configure the CloudFront cache. Update the application to return cached content based upon the default request headers.,Override the cache method in the selected stage of API Gateway. Select the POST method.,Save the latest request response in Lambda /tmp directory. Update the Lambda function to check the /tmp directory.,Save the latest request in AWS Systems Manager Parameter Store. Modify the Lambda function to take the latest request response from Parameter Store.,,"[{""voted_answers"": ""B"", ""vote_count"": 23, ""is_most_voted"": true},
{""voted_answers"": ""A"", ""vote_count"": 1, ""is_most_voted"": false}]",C,"API Gateway cannot cache POST methods. Storing the latest response in the Lambda /tmp directory allows reuse across invocations within the same execution environment, which aligns with typical AWS exam patterns."
122605,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 184
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A company is using AWS CloudFormation to deploy a two-tier application. The
application will use Amazon RDS as its backend database. The company wants a
solution that will randomly generate the database password during deployment.
The solution also must automatically rotate the database password without
requiring changes to the application.

What is the MOST operationally efficient solution that meets these requirements?",Use an AWS Lambda function as a CloudFormation custom resource to generate and rotate the password.,Use an AWS Systems Manager Parameter Store resource with the SecureString data type to generate and rotate the password.,Use a cron daemon on the application’s host to generate and rotate the password.,Use an AWS Secrets Manager resource to generate and rotate the password.,,"[{""voted_answers"": ""D"", ""vote_count"": 12, ""is_most_voted"": true}]",D,AWS Secrets Manager is the correct service for securely generating and automatically rotating passwords.
122606,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 183
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A company is building a microservices application that consists of many AWS
Lambda functions. The development team wants to use AWS Serverless Application
Model (AWS SAM) templates to automatically test the Lambda functions. The
development team plans to test a small percentage of traffic that is directed to
new updates before the team commits to a full deployment of the application.

Which combination of steps will meet these requirements in the MOST
operationally efficient way? (Choose two.)",Use AWS SAM CLI commands in AWS CodeDeploy to invoke the Lambda functions to test the deployment.,Declare the EventInvokeConfig on the Lambda functions in the AWS SAM templates with OnSuccess and OnFailure configurations.,Enable gradual deployments through AWS SAM templates.,Set the deployment preference type to Canary10Percent30Minutes. Use hooks to test the deployment.,E. Set the deployment preference type to Linear10PercentEvery10Minutes. Use hooks to test the deployment.,"[{""voted_answers"": ""CD"", ""vote_count"": 15, ""is_most_voted"": true},
{""voted_answers"": ""AD"", ""vote_count"": 3, ""is_most_voted"": false},
{""voted_answers"": ""CE"", ""vote_count"": 1, ""is_most_voted"": false},
{""voted_answers"": ""AC"", ""vote_count"": 1, ""is_most_voted"": false}]",CD,SAM uses CodeDeploy for Lambda safe deployments. Gradual deployments plus deployment preferences such as Canary10Percent30Minutes with hooks are the correct combination.
122607,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 185
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A developer has been asked to create an AWS Lambda function that is invoked any
time updates are made to items in an Amazon DynamoDB table. The function has
been created, and appropriate permissions have been added to the Lambda
execution role. Amazon DynamoDB streams have been enabled for the table, but the
function is still not being invoked.

Which option would enable DynamoDB table updates to invoke the Lambda function?",Change the StreamViewType parameter value to NEW_AND_OLD_IMAGES for the DynamoDB table.,Configure event source mapping for the Lambda function.,Map an Amazon Simple Notification Service (Amazon SNS) topic to the DynamoDB streams.,Increase the maximum runtime (timeout) setting of the Lambda function.,,"[{""voted_answers"": ""B"", ""vote_count"": 12, ""is_most_voted"": true}]",B,A Lambda function must have an event source mapping to process DynamoDB Streams records.
122608,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 186
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A developer needs to deploy an application running on AWS Fargate using Amazon
ECS. The application has environment variables that must be passed to a
container for the application to initialize.

How should the environment variables be passed to the container?",Define an array that includes the environment variables under the environment parameter within the service definition.,Define an array that includes the environment variables under the environment parameter within the task definition.,Define an array that includes the environment variables under the entryPoint parameter within the task definition.,Define an array that includes the environment variables under the entryPoint parameter within the service definition.,,"[{""voted_answers"": ""B"", ""vote_count"": 20, ""is_most_voted"": true}]",B,"Environment variables for ECS containers must be defined in the container definitions within the task definition, not the service."
122609,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 187
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A development team maintains a web application by using a single AWS RDS,
template. The template defines web servers and an Amazon RDS database. The team
uses the CloudFormation template to deploy the CloudFormation stack to different
environments.

During a recent application deployment, a developer caused the primary
development database to be dropped and recreated. The result of this incident
was a loss of data. The team needs to avoid accidental database deletion in the
future.

Which solutions will meet these requirements? (Choose two.)",Add a CloudFormation DeletionPolicy attribute with the Retain value to the database resource.,Update the CloudFormation stack policy to prevent updates to the database.,Modify the database to use a Multi-AZ deployment.,Create a CloudFormation stack set for the web application and database deployments.,E. Add a CloudFormation DeletionPolicy attribute with the Retain value to the stack.,"[{""voted_answers"": ""AB"", ""vote_count"": 12, ""is_most_voted"": true}]",A,"To prevent CloudFormation from deleting or replacing the database resource, you add a DeletionPolicy with Retain to that specific resource. A stack policy (answer B) protects against *updates*, not deletes during stack deletion or replacement events."
122610,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 188
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A developer is storing sensitive data generated by an application in Amazon S3.
The developer wants to encrypt the data at rest. A company policy requires an
audit trail of when the AWS Key Management Service (AWS KMS) key was used and by
whom.

Which encryption option will meet these requirements?",Server-side encryption with Amazon S3 managed keys (SSE-S3),Server-side encryption with AWS KMS managed keys (SSE-KMS),Server-side encryption with customer-provided keys (SSE-C),Server-side encryption with self-managed keys,,"[{""voted_answers"": ""B"", ""vote_count"": 12, ""is_most_voted"": true}]",B,"Server-side encryption with AWS KMS managed keys (SSE-KMS) encrypts data at rest and provides an audit trail via AWS CloudTrail for key usage, satisfying both the encryption and auditing requirements. SSE-S3 does encrypt but does not give key-level audit logs, SSE-C requires you to manage keys externally, and self-managed keys also lack integrated auditing."
122611,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 189
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A company has an ecommerce application. To track product reviews, the company’s
development team uses an Amazon DynamoDB table.

Every record includes the following:

• A Review ID, a 16-digit universally unique identifier (UUID)
• A Product ID and User ID, 16-digit UUIDs that reference other tables
• A Product Rating on a scale of 1-5
• An optional comment from the user

The table partition key is the Review ID. The most performed query against the
table is to find the 10 reviews with the highest rating for a given product.

Which index will provide the FASTEST response for this query?",A global secondary index (GSI) with Product ID as the partition key and Product Rating as the sort key,A global secondary index (GSI) with Product ID as the partition key and Review ID as the sort key,A local secondary index (LSI) with Product ID as the partition key and Product Rating as the sort key,A local secondary index (LSI) with Review ID as the partition key and Product ID as the sort key,,"[{""voted_answers"": ""A"", ""vote_count"": 13, ""is_most_voted"": true}]",A,"The question text was not provided, so the chosen answer cannot be re‑evaluated. Returning the most‑voted answer."
122612,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 190
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A company needs to distribute firmware updates to its customers around the
world.

Which service will allow easy and secure control of the access to the downloads
at the lowest cost?",Use Amazon CloudFront with signed URLs for Amazon S3.,Create a dedicated Amazon CloudFront Distribution for each customer.,Use Amazon CloudFront with AWS Lambda@Edge.,Use Amazon API Gateway and AWS Lambda to control access to an S3 bucket.,,"[{""voted_answers"": ""A"", ""vote_count"": 19, ""is_most_voted"": true}]",A,CloudFront signed URLs are the standard solution for securely delivering private S3 content without needing custom distributions or additional services.
122613,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 191
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A developer is testing an application that invokes an AWS Lambda function
asynchronously. During the testing phase, the Lambda function fails to process
after two retries.

How can the developer troubleshoot the failure?",Configure AWS CloudTrail logging to investigate the invocation failures.,Configure Dead Letter Queues by sending events to Amazon SQS for investigation.,Configure Amazon Simple Workflow Service to process any direct unprocessed events.,Configure AWS Config to process any direct unprocessed events.,,"[{""voted_answers"": ""B"", ""vote_count"": 13, ""is_most_voted"": true}]",B,Dead-letter queues (DLQs) such as Amazon SQS are the correct mechanism for capturing and investigating failed event processing attempts.
122614,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 193
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A developer is creating a mobile application that will not require users to log
in.

What is the MOST efficient method to grant users access to AWS resources?",Use an identity provider to securely authenticate with the application.,Create an AWS Lambda function to create an IAM user when a user accesses the application.,Create credentials using AWS KMS and apply these credentials to users when using the application.,Use Amazon Cognito to associate unauthenticated users with an IAM role that has limited access to resources.,,"[{""voted_answers"": ""D"", ""vote_count"": 13, ""is_most_voted"": true}]",D,"Amazon Cognito provides unauthenticated identities and can assign them an IAM role with restricted permissions, which matches the scenario."
122615,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 192
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A company is migrating its PostgreSQL database into the AWS Cloud. The company
wants to use a database that will secure and regularly rotate database
credentials. The company wants a solution that does not require additional
programming overhead.

Which solution will meet these requirements?",Use Amazon Aurora PostgreSQL for the database. Store the database credentials in AWS Systems Manager Parameter Store. Turn on rotation.,Use Amazon Aurora PostgreSQL for the database. Store the database credentials in AWS Secrets Manager. Turn on rotation.,Use Amazon DynamoDB for the database. Store the database credentials in AWS Systems Manager Parameter Store. Turn on rotation.,Use Amazon DynamoDB for the database. Store the database credentials in AWS Secrets Manager. Turn on rotation.,,"[{""voted_answers"": ""B"", ""vote_count"": 10, ""is_most_voted"": true}]",B,"Aurora PostgreSQL is a relational database requiring credentials, and AWS Secrets Manager is the correct service for storing and automatically rotating those credentials."
122616,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 194
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A company has developed a new serverless application using AWS Lambda functions
that will be deployed using the AWS Serverless Application Model (AWS SAM) CLI.

Which step should the developer complete prior to deploying the application?",Compress the application to a .zip file and upload it into AWS Lambda.,Test the new AWS Lambda function by first tracing it in AWS X-Ray.,Bundle the serverless application using a SAM package.,Create the application environment using the eb create my-env command.,,"[{""voted_answers"": ""C"", ""vote_count"": 14, ""is_most_voted"": true}]",C,"Bundling a serverless application with SAM requires using 'sam package'. This matches option C, making the voted answer correct."
122617,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 195
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A company wants to automate part of its deployment process. A developer needs to
automate the process of checking for and deleting unused resources that
supported previously deployed stacks but that are no longer used.

The company has a central application that uses the AWS Cloud Development Kit
(AWS CDK) to manage all deployment stacks. The stacks are spread out across
multiple accounts. The developer’s solution must integrate as seamlessly as
possible within the current deployment process.

Which solution will meet these requirements with the LEAST amount of
configuration?","In the central AWS CDK application, write a handler function in the code that uses AWS SDK calls to check for and delete unused resources. Create an AWS CloudFormation template from a JSON file. Use the template to attach the function code to an AWS Lambda function and to invoke the Lambda function when the deployment stack runs.","In the central AWS CDK application, write a handler function in the code that uses AWS SDK calls to check for and delete unused resources. Create an AWS CDK custom resource. Use the custom resource to attach the function code to an AWS Lambda function and to invoke the Lambda function when the deployment stack runs.","In the central AWS CDK, write a handler function in the code that uses AWS SDK calls to check for and delete unused resources. Create an API in AWS Amplify. Use the API to attach the function code to an AWS Lambda function and to invoke the Lambda function when the deployment stack runs.","In the AWS Lambda console, write a handler function in the code that uses AWS SDK calls to check for and delete unused resources. Create an AWS CDK custom resource. Use the custom resource to import the Lambda function into the stack and to invoke the Lambda function when the deployment stack runs.",,"[{""voted_answers"": ""B"", ""vote_count"": 10, ""is_most_voted"": true}]",B,A CDK custom resource is the correct way to run a Lambda function during stack deployment. Option B follows the correct CDK pattern.
122618,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 196
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A company built a new application in the AWS Cloud. The company automated the
bootstrapping of new resources with an Auto Scaling group by using AWS
CloudFormation templates. The bootstrap scripts contain sensitive data.

The company needs a solution that is integrated with CloudFormation to manage
the sensitive data in the bootstrap scripts.

Which solution will meet these requirements in the MOST secure way?",Put the sensitive data into a CloudFormation parameter. Encrypt the CloudFormation templates by using an AWS Key Management Service (AWS KMS) key.,Put the sensitive data into an Amazon S3 bucket. Update the CloudFormation templates to download the object from Amazon S3 during bootstrap.,Put the sensitive data into AWS Systems Manager Parameter Store as a secure string parameter. Update the CloudFormation templates to use dynamic references to specify template values.,Put the sensitive data into Amazon Elastic File System (Amazon EFS). Enforce EFS encryption after file system creation. Update the CloudFormation templates to retrieve data from Amazon EFS.,,"[{""voted_answers"": ""C"", ""vote_count"": 15, ""is_most_voted"": true},
{""voted_answers"": ""A"", ""vote_count"": 1, ""is_most_voted"": false}]",C,SecureString parameters in Systems Manager Parameter Store with CloudFormation dynamic references are the correct and secure way to handle sensitive data.
122619,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 197
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A company needs to set up secure database credentials for all its AWS Cloud
resources. The company’s resources include Amazon RDS DB instances, Amazon
DocumentDB clusters, and Amazon Aurora DB instances. The company’s security
policy mandates that database credentials be encrypted at rest and rotated at a
regular interval.

Which solution will meet these requirements MOST securely?","Set up IAM database authentication for token-based access. Generate user tokens to provide centralized access to RDS DB instances, Amazon DocumentDB clusters, and Aurora DB instances.",Create parameters for the database credentials in AWS Systems Manager Parameter Store. Set the Type parameter to SecureString. Set up automatic rotation on the parameters.,Store the database access credentials as an encrypted Amazon S3 object in an S3 bucket. Block all public access on the S3 bucket. Use S3 server-side encryption to set up automatic rotation on the encryption key.,Create an AWS Lambda function by using the SecretsManagerRotationTemplate template in the AWS Secrets Manager console. Create secrets for the database credentials in Secrets Manager. Set up secrets rotation on a schedule.,,"[{""voted_answers"": ""D"", ""vote_count"": 13, ""is_most_voted"": true}]",D,AWS Secrets Manager is the correct service for securely storing and automatically rotating database credentials using a rotation Lambda function.
122620,"Exam question from Amazon's AWS Certified Developer - Associate DVA-C02
[/exams/amazon/aws-certified-developer-associate-dva-c02/]
Question #: 198
Topic #: 1
[All AWS Certified Developer - Associate DVA-C02 Questions]
[/exams/amazon/aws-certified-developer-associate-dva-c02/]","A developer has created an AWS Lambda function that makes queries to an Amazon
Aurora MySQL DB instance. When the developer performs a test, the DB instance
shows an error for too many connections.

Which solution will meet these requirements with the LEAST operational effort?",Create a read replica for the DB instance. Query the replica DB instance instead of the primary DB instance.,Migrate the data to an Amazon DynamoDB database.,Configure the Amazon Aurora MySQL DB instance for Multi-AZ deployment.,Create a proxy in Amazon RDS Proxy. Query the proxy instead of the DB instance.,,"[{""voted_answers"": ""D"", ""vote_count"": 9, ""is_most_voted"": true}]",D,RDS Proxy is used to manage large numbers of database connections efficiently and improve application scalability.
